Interest,Skills,Favorite_Subject,Experience_Level,Career_Goal,Recommended_Domain
AI,TensorFlow,AI,Advanced,Android Developer,Machine Learning
Cloud,Java,AI,Beginner,ML Engineer,Cloud Computing
Security,AWS,Java Programming,Intermediate,DevOps Engineer,Cybersecurity
Data Analysis,SQL,Cloud Computing,Intermediate,Security Analyst,Data Analytics
UI Design,Docker,Cloud Computing,Beginner,Backend Developer,Web Development
Data Analysis,Python,Web Technology,Intermediate,Frontend Developer,Data Analytics
Data Analysis,Java,Web Technology,Advanced,Android Developer,Data Analytics
Networking,React,Statistics,Beginner,Data Analyst,Cybersecurity
AI,Linux,Cloud Computing,Intermediate,DevOps Engineer,Machine Learning
Networking,Java,AI,Advanced,Cloud Engineer,Cybersecurity
Networking,HTML CSS JavaScript,Software Engineering,Beginner,Frontend Developer,Cybersecurity
Networking,Java,AI,Intermediate,ML Engineer,Cybersecurity
Android,HTML CSS JavaScript,Web Technology,Advanced,Android Developer,Android Development
UI Design,Python,Networking,Beginner,Backend Developer,Web Development
Security,TensorFlow,Networking,Intermediate,Backend Developer,Cybersecurity
Web Apps,Kotlin,AI,Beginner,ML Engineer,Web Development
Networking,HTML CSS JavaScript,Cloud Computing,Advanced,Frontend Developer,Cybersecurity
Automation,AWS,Mobile Computing,Advanced,Data Analyst,Machine Learning
Data Analysis,AWS,Statistics,Intermediate,DevOps Engineer,Data Analytics
Data Analysis,TensorFlow,Cyber Security,Advanced,Android Developer,Data Analytics
Data Analysis,Kotlin,Mobile Computing,Advanced,Security Analyst,Data Analytics
Java,React,Data Science,Beginner,Cloud Engineer,Java Development
Networking,Kotlin,Mobile Computing,Beginner,Android Developer,Cybersecurity
Android,AWS,Software Engineering,Advanced,Security Analyst,Android Development
Android,HTML CSS JavaScript,Mobile Computing,Beginner,Security Analyst,Android Development
Cloud,Linux,Java Programming,Intermediate,Cloud Engineer,Cloud Computing
Web Apps,SQL,Cloud Computing,Advanced,Frontend Developer,Web Development
AI,Kotlin,Web Technology,Advanced,ML Engineer,Machine Learning
UI Design,Docker,AI,Advanced,Frontend Developer,Web Development
UI Design,React,Cloud Computing,Advanced,Frontend Developer,Web Development
Android,React,Java Programming,Intermediate,Data Analyst,Android Development
Networking,Java,AI,Intermediate,Security Analyst,Cybersecurity
Automation,HTML CSS JavaScript,Cloud Computing,Advanced,Backend Developer,Machine Learning
UI Design,HTML CSS JavaScript,Networking,Beginner,ML Engineer,Web Development
AI,React,Software Engineering,Advanced,Data Analyst,Machine Learning
Android,SQL,Software Engineering,Beginner,Security Analyst,Android Development
Android,SQL,Networking,Beginner,Android Developer,Android Development
UI Design,SQL,Cyber Security,Beginner,Android Developer,Web Development
UI Design,Docker,AI,Advanced,Cloud Engineer,Web Development
UI Design,Docker,Software Engineering,Beginner,Android Developer,Web Development
Networking,Linux,Mobile Computing,Advanced,Android Developer,Cybersecurity
Web Apps,Kotlin,Cloud Computing,Beginner,Android Developer,Web Development
UI Design,React,Networking,Advanced,DevOps Engineer,Web Development
Java,HTML CSS JavaScript,Mobile Computing,Intermediate,Frontend Developer,Java Development
Networking,Java,Cyber Security,Advanced,ML Engineer,Cybersecurity
Networking,React,Web Technology,Beginner,Backend Developer,Cybersecurity
Android,Python,Networking,Advanced,Security Analyst,Android Development
Data Analysis,Python,Statistics,Beginner,Frontend Developer,Data Analytics
UI Design,Docker,Cloud Computing,Intermediate,Backend Developer,Web Development
Android,SQL,Networking,Beginner,Frontend Developer,Android Development
UI Design,Docker,Cloud Computing,Beginner,Frontend Developer,Web Development
AI,Kotlin,Mobile Computing,Advanced,ML Engineer,Machine Learning
Security,AWS,Networking,Beginner,DevOps Engineer,Cybersecurity
AI,TensorFlow,Software Engineering,Advanced,Frontend Developer,Machine Learning
Networking,React,Mobile Computing,Beginner,Android Developer,Cybersecurity
Data Analysis,TensorFlow,AI,Advanced,Cloud Engineer,Data Analytics
Android,Java,Data Science,Beginner,Security Analyst,Android Development
Web Apps,Linux,Java Programming,Advanced,Data Analyst,Web Development
Networking,AWS,Statistics,Intermediate,Data Analyst,Cybersecurity
Data Analysis,HTML CSS JavaScript,Cyber Security,Beginner,ML Engineer,Data Analytics
AI,Kotlin,Cyber Security,Intermediate,ML Engineer,Machine Learning
Android,React,Statistics,Beginner,Cloud Engineer,Android Development
UI Design,Linux,Java Programming,Beginner,DevOps Engineer,Web Development
Security,AWS,Mobile Computing,Beginner,Security Analyst,Cybersecurity
UI Design,Python,Web Technology,Advanced,DevOps Engineer,Web Development
Automation,Docker,Cloud Computing,Intermediate,Cloud Engineer,Machine Learning
Security,SQL,AI,Beginner,Data Analyst,Cybersecurity
Data Analysis,HTML CSS JavaScript,Java Programming,Beginner,Cloud Engineer,Data Analytics
Java,Kotlin,Statistics,Advanced,Data Analyst,Java Development
Security,HTML CSS JavaScript,Cyber Security,Advanced,DevOps Engineer,Cybersecurity
Web Apps,SQL,Java Programming,Intermediate,Security Analyst,Web Development
Cloud,SQL,Web Technology,Beginner,Frontend Developer,Cloud Computing
Data Analysis,React,Networking,Beginner,DevOps Engineer,Data Analytics
AI,Python,Statistics,Intermediate,Data Analyst,Machine Learning
Android,Kotlin,Cloud Computing,Intermediate,DevOps Engineer,Android Development
UI Design,Kotlin,Java Programming,Advanced,ML Engineer,Web Development
UI Design,Python,Software Engineering,Intermediate,Backend Developer,Web Development
UI Design,SQL,Web Technology,Advanced,Data Analyst,Web Development
Automation,React,Networking,Advanced,Android Developer,Machine Learning
AI,Java,Mobile Computing,Intermediate,Frontend Developer,Machine Learning
Automation,Java,Mobile Computing,Beginner,Security Analyst,Machine Learning
Security,AWS,Cloud Computing,Beginner,Cloud Engineer,Cybersecurity
AI,Python,Data Science,Advanced,DevOps Engineer,Machine Learning
Automation,AWS,Web Technology,Advanced,Backend Developer,Machine Learning
UI Design,SQL,Networking,Beginner,Security Analyst,Web Development
Android,SQL,Cyber Security,Advanced,DevOps Engineer,Android Development
Security,AWS,AI,Intermediate,Security Analyst,Cybersecurity
UI Design,Linux,Web Technology,Beginner,DevOps Engineer,Web Development
Networking,Java,Statistics,Beginner,Frontend Developer,Cybersecurity
Networking,Linux,Mobile Computing,Advanced,Cloud Engineer,Cybersecurity
Security,SQL,Java Programming,Intermediate,Data Analyst,Cybersecurity
Java,React,Software Engineering,Advanced,Frontend Developer,Java Development
UI Design,SQL,Cyber Security,Beginner,Cloud Engineer,Web Development
Data Analysis,Docker,Software Engineering,Beginner,Data Analyst,Data Analytics
Automation,HTML CSS JavaScript,Web Technology,Advanced,Android Developer,Machine Learning
Web Apps,Kotlin,Cyber Security,Advanced,Security Analyst,Web Development
Security,Python,Cloud Computing,Intermediate,Security Analyst,Cybersecurity
